,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,cardiovascular,False,False,"A 68-year-old male presents to the emergency department with acute onset chest pain that began 3 hours ago while climbing stairs. The pain is substernal, radiating to his left arm, and associated with diaphoresis and mild dyspnea. He has a history of type 2 diabetes mellitus, hyperlipidemia, and a 30 pack-year smoking history, though he quit 5 years ago. Initial vital signs show BP 145/90 mmHg, HR 95 bpm regular, RR 20/min, and O2 saturation 96% on room air. Physical examination reveals normal heart sounds without murmurs, clear lung fields bilaterally, and no peripheral edema.","Acute coronary syndrome; obtain ECG, cardiac biomarkers, initiate dual antiplatelet therapy and anticoagulation",The patient mentions that the pain significantly worsens when he takes a deep breath and improves when leaning forward. He also recalls having flu-like symptoms with low-grade fever and fatigue over the past week. A friction rub is now audible at the left sternal border when the patient is positioned sitting upright and leaning forward.,,Opus 4.1,5,5,3,K2 Thinking,5,5,3,DeepSeek
1,cardiovascular,False,False,"A 62-year-old male with a 25-year history of poorly controlled hypertension and type 2 diabetes mellitus presents to the emergency department with sudden-onset severe chest pain radiating to his back. He is diaphoretic, anxious, and hypertensive on exam. The patient reports no previous history of coronary artery disease but has a 40-pack-year smoking history. His blood pressure is 188/96 mmHg in both arms, and initial ECG shows nonspecific ST-T changes; troponin is pending.",Order stat chest CT angiogram to rule out aortic dissection; initiate blood pressure control.,"Shortly after arrival, the patient develops new-onset left leg weakness and decreased sensation, with diminished left femoral pulse compared to the right. There is no evidence of lower extremity edema or signs of deep vein thrombosis.",,GPT 4.1,5,5,3,o3,5,5,3,Claude Opus 4.1
2,cardiovascular,False,False,"A 58-year-old male with a history of hypertension, dyslipidemia, and a 30-pack-year smoking history presents to the emergency department with acute onset substernal chest pain radiating to the left arm. He describes the pain as heavy and associated with diaphoresis and mild shortness of breath. His vital signs are BP 145/92 mmHg, HR 92 bpm, O2 sat 97% on room air, and ECG in triage shows 1-mm ST-segment depression in leads V4-V6. Troponin levels are pending.","Begin evaluation for non-ST elevation myocardial infarction (NSTEMI), order serial cardiac enzymes, initiate dual antiplatelet therapy, consider cardiology consult.","Shortly after arrival, the patient becomes acutely hypotensive with a sudden drop in BP to 85/55 mmHg and complains of worsening shortness of breath. Physical examination now reveals new holosystolic murmur at the apex and bibasilar rales on lung auscultation.",,GPT 4.1,5,5,3,K2 Thinking,5,5,2,o3
3,cardiovascular,False,False,"A 58-year-old male presents to the emergency department with acute chest pain radiating to the left arm that began 2 hours ago while climbing stairs. He has a history of hypertension, type 2 diabetes, and a 30-pack-year smoking history. His initial ECG shows ST-segment elevation in leads II, III, and aVF. Troponin I is elevated at 4.2 ng/mL (normal <0.04 ng/mL). Blood pressure is 148/92 mmHg, heart rate 98 bpm, and oxygen saturation 96% on room air.",Acute inferior wall ST-elevation myocardial infarction (STEMI). Proceed with emergent cardiac catheterization for primary percutaneous coronary intervention.,"The patient suddenly develops hypotension with blood pressure dropping to 78/45 mmHg, jugular venous distension is noted, and lung fields remain clear on auscultation. A new holosystolic murmur is audible at the left lower sternal border that increases with inspiration.",,Sonnet 4.5,5,4,2,o3,5,5,2,GPT 5
4,cardiovascular,False,False,"A 62-year-old female with hypertension, hyperlipidemia, and a 30-pack-year smoking history presents to the ED with acute onset chest pressure radiating to her left arm for 2 hours. She describes the pain as 8/10, heavy, and associated with diaphoresis and nausea. Vital signs: BP 150/90, HR 88, RR 18, O2 sat 96% RA. Physical exam is unremarkable. ECG shows ST-segment depression in leads V2-V4. Troponin I is elevated at 12.5 ng/mL with normal baseline.","Posterior STEMI. Activate cath lab, load dual antiplatelet therapy, start anticoagulation.",The patient's husband mentions she has been taking an herbal energy supplement purchased online for two weeks and took an extra dose this morning before exercise.,,K2 Thinking,4,5,3,GPT 5,5,5,3,Gemini 2.5 Pro
5,cardiovascular,False,False,"A 62-year-old man with a history of poorly controlled type 2 diabetes, long-standing hypertension, and a 40-pack-year smoking history presents to the ED with 45 minutes of central chest pressure radiating to the left jaw, accompanied by mild diaphoresis and nausea. Vital signs show BP 150/95 mmHg, HR 92 bpm, RR 18, and SpO₂ 97% on room air. A focused physical exam is unremarkable for murmurs or pericardial rub; lungs are clear. Initial ECG demonstrates 1-mm horizontal ST depressions in leads V4–V6, and the first troponin I is 0.08 ng/mL (upper limit 0.04).","Possible NSTEMI; start aspirin, heparin, beta-blocker; order serial troponins and schedule early coronary angiography.","Forty minutes later the patient reports sudden onset of sharp, tearing pain between the scapulae. Blood pressure is now 180/100 mmHg in the right arm and 155/90 mmHg in the left arm, and a new early diastolic decrescendo murmur is heard along the left sternal border. A stat portable chest X-ray shows a widened mediastinum.",,o3,5,5,3,GPT 4.1,5,5,3,Claude Sonnet 4.5
6,cardiovascular,False,False,"A 58-year-old male with a history of hypertension and hyperlipidemia presents to the emergency department with acute onset chest discomfort that began 2 hours ago while mowing his lawn. He describes the pain as a pressure-like sensation in the center of his chest, radiating to his left arm, associated with diaphoresis and mild dyspnea. His initial ECG shows ST-segment elevation of 3mm in leads II, III, and aVF. His troponin I level is elevated at 2.4 ng/mL (normal <0.04 ng/mL), and his blood pressure is 145/90 mmHg with a heart rate of 92 bpm.",Acute inferior ST-elevation myocardial infarction (STEMI). Activate catheterization lab for emergent coronary angiography and possible percutaneous coronary intervention.,"While preparing for catheterization, the patient develops sudden onset severe tearing pain radiating to his back between the shoulder blades. Repeat blood pressure measurement reveals 165/95 mmHg in the right arm and 110/70 mmHg in the left arm.",,Sonnet 4.5,5,5,3,DeepSeek,5,5,2,o3
7,cardiovascular,False,False,"68-year-old male with hypertension, hyperlipidemia, and 30-pack-year smoking history presents to the emergency department with acute onset of substernal chest pressure beginning 2 hours ago. The pain radiates to his left arm, is described as crushing, and was precipitated by climbing stairs. Physical examination reveals blood pressure 165/95 mmHg, heart rate 88 bpm, respiratory rate 18, and O2 saturation 97% on room air. Initial laboratory studies show troponin I of 0.04 ng/mL (reference <0.04), and ECG demonstrates 1 mm horizontal ST-segment depressions in leads V4-V6.","NSTEMI - initiate dual antiplatelet therapy, anticoagulation, and cardiology consultation for urgent catheterization.",CT angiography of the chest obtained to evaluate for pulmonary embolism reveals a 5.5 cm descending thoracic aortic aneurysm with circumferential intramural hematoma. No dissection flap or pulmonary embolism is identified. The patient remains hypertensive with persistent chest pain despite medical therapy.,,K2 Thinking,4,4,2,GPT 5,5,5,2,GPT 4.1
8,cardiovascular,False,False,"A 68-year-old male with a history of hypertension and type 2 diabetes presents with a 3-week history of progressive dyspnea on exertion and orthopnea. On examination, his jugular venous pressure is elevated to 10 cm, and he has bibasilar crackles and 2+ bilateral pitting edema. An electrocardiogram shows a sinus rhythm with left ventricular hypertrophy with a strain pattern, and a chest radiograph reveals cardiomegaly and small pleural effusions. His B-type natriuretic peptide (BNP) level is markedly elevated at 1200 pg/mL.",Acute decompensated heart failure with preserved ejection fraction (HFpEF) secondary to hypertensive heart disease. Initiate intravenous diuretic therapy.,"A transthoracic echocardiogram reveals a preserved ejection fraction of 55% with severe, symmetric concentric left ventricular hypertrophy. Global longitudinal strain analysis shows a pattern of preserved apical strain with severely reduced basal and mid-ventricular strain.",,Gemini 2.5 Pro,5,5,3,Claude Sonnet 4.5,5,5,2,o3
9,cardiovascular,False,False,"A 68-year-old male presents to the emergency department with 3 hours of substernal chest pressure radiating to his left arm, associated with diaphoresis and nausea. He has a history of type 2 diabetes mellitus, hypertension, and a 30-pack-year smoking history. Initial vital signs show BP 156/92 mmHg, HR 88 bpm, and oxygen saturation 96% on room air. ECG demonstrates ST-segment depression in leads V4-V6 and troponin I is elevated at 0.8 ng/mL.","NSTEMI - initiate dual antiplatelet therapy, anticoagulation, beta-blocker, urgent cardiac catheterization","The patient mentions he has been experiencing progressive dyspnea on exertion over the past 2 weeks and noticed bilateral ankle swelling. Physical examination reveals a loud systolic murmur best heard at the right sternal border with radiation to the carotids, and chest X-ray shows pulmonary vascular congestion with cardiomegaly.",,Opus 4.1,5,5,3,DeepSeek,5,4,2,o3
